8.360397,hit
3.595699,hit
4.217762,hit
2.533713,miss
5.813642,hit
2.674284,hit
3.387561,hit
3.670552,hit
3.010277,hit
3.204278,hit
3.057353,hit
3.222886,hit
3.234402,hit
3.366166,miss
0.3053176,miss
3.759848,miss
6.214553,miss
6.24679,hit
3.091729,hit
3.030181,miss
5.820349,miss
3.696651,miss
3.888131,hit
4.004224,hit
4.11552,miss
6.13003,hit
75.0694,hit
35.26352,hit
22.45423,miss
8.627074,hit
5.360896,hit
4.603929,hit
5.824846,hit
9.87362,hit
3.910868,hit
5.506965,hit
4.201225,hit
11.22717,hit
24.70764,hit
3.671735,hit
5.451633,hit
4.196524,hit
12.20827,hit
6.160182,miss
48.29513,miss
18.96299,miss
1.751733,miss
2.169665,miss
17.22574,miss
6.426997,miss
4.20438,miss
12.65388,hit
11.32464,hit
11.1016,hit
13.99515,hit
11.80589,hit
16.0527,hit
10.92159,hit
12.12909,hit
16.00067,hit
8.110508,hit
9.007761,hit
6.416094,hit
7.09388,hit
6.340702,hit
6.342101,hit
17.52072,miss
8.235183,miss
60.88984,hit
5.835496,hit
5.762604,miss
7.479008,hit
16.02971,miss
