60.72081,hit
7.318456,hit
7.729079,miss
8.242956,hit
36.0176,hit
6.229801,hit
4.943004,hit
5.200145,hit
4.71557,hit
4.90546,hit
4.567622,hit
6.482561,miss
4.904634,hit
4.591976,hit
6.666616,hit
4.204518,hit
4.564073,hit
5.319327,hit
5.163864,hit
5.346396,hit
6.241555,hit
4.473137,hit
6.020303,hit
43.7883,hit
10.85302,hit
6.420705,hit
18.01673,hit
5.721835,hit
11.78626,hit
4.302028,hit
3.733427,hit
3.84183,hit
4.812567,miss
4.276602,hit
7.295392,hit
5.720427,hit
3.905983,hit
4.247842,hit
3.387691,hit
17.70739,miss
12.47869,hit
1.4038,miss
7.835638,hit
4.532382,miss
7.654056,miss
4.733061,hit
3.6307,miss
4.200806,hit
8.496271,miss
4.807827,hit
6.503746,hit
11.13363,hit
4.020123,hit
6.267979,hit
4.400199,miss
